timepoint;u_mean;u_median;u_sum;a_mean;a_median;a_sum;m_mean;m_median;m_sum
127;917.500000000002;917.500000000002;917.500000000002;473;473;473;399.396825396826;399.396825396826;399.396825396826
128;944.740000000001;944.740000000001;944.740000000001;487;487;487;411.055555555555;411.055555555555;411.055555555555
129;983.83;983.83;983.83;507;507;507;428.065079365079;428.065079365079;428.065079365079
130;1009.2;1009.2;1009.2;520;520;520;438.788888888888;438.788888888888;438.788888888888
131;927.650000000002;927.650000000002;927.650000000002;478;478;478;403.568253968254;403.568253968254;403.568253968254
132;957.050000000001;957.050000000001;957.050000000001;493;493;493;416.579365079364;416.579365079364;416.579365079364
133;997.999999999997;997.999999999997;997.999999999997;514;514;514;434.22380952381;434.22380952381;434.22380952381
134;993.879999999998;993.879999999998;993.879999999998;512;512;512;431.490476190476;431.490476190476;431.490476190476
135;995.549999999999;995.549999999999;995.549999999999;513;513;513;432.161904761906;432.161904761906;432.161904761906
136;974.200000000002;974.200000000002;974.200000000002;502;502;502;423.638095238095;423.638095238095;423.638095238095
137;968.210000000004;968.210000000004;968.210000000004;499;499;499;421.025396825396;421.025396825396;421.025396825396
138;979.510000000002;979.510000000002;979.510000000002;505;505;505;426.058730158729;426.058730158729;426.058730158729
